Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	1.190274571	1.401783951	0.000	12274.809	0.2115	12274.809	-52.46	
2	Spectrogram 1	1	2.312623624	2.543520919	0.000	11835.115	0.2309	11835.115	-52.56	
3	Spectrogram 1	1	4.697738916	4.953668067	0.000	12641.221	0.2559	12641.221	-53.15	
4	Spectrogram 1	1	5.958969948	6.188140908	0.000	11432.061	0.2292	11432.061	-53.14	
5	Spectrogram 1	1	7.598464784	7.829793663	0.000	11432.061	0.2313	11432.061	-52.38	
6	Spectrogram 1	1	9.531686868	9.768194752	0.000	10662.595	0.2365	10662.595	-52.71	
7	Spectrogram 1	1	12.218896365	12.446772574	0.000	12531.298	0.2279	12531.298	-52.92	
8	Spectrogram 1	1	13.521549571	13.745109942	0.000	15645.802	0.2236	15645.802	-54.23	
