Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.973344384	1.194442650	0.000	10813.949	0.2211	10813.949	-51.83	
2	Spectrogram 1	1	2.061182011	2.275777387	0.000	10112.159	0.2146	10112.159	-52.34	
3	Spectrogram 1	1	3.810695918	4.039380889	0.000	11037.246	0.2287	11037.246	-52.91	
4	Spectrogram 1	1	5.486626496	5.703389502	0.000	10845.848	0.2168	10845.848	-52.29	
5	Spectrogram 1	1	6.881955930	7.107931364	0.000	10750.150	0.2260	10750.150	-52.42	
6	Spectrogram 1	1	9.209249210	9.465029556	0.000	11164.844	0.2558	11164.844	-52.77	
7	Spectrogram 1	1	11.303416295	11.539687972	0.000	11739.036	0.2363	11739.036	-52.97	
8	Spectrogram 1	1	13.680164763	13.914810717	0.000	10909.647	0.2346	10909.647	-52.47	
